unit1_txt	unit2_txt	dir	rel_type	orig_label	label
They wanted to build cool machines with lots of motors and computer controllers ,	and as long as they could work with what they thought of as cutting - edge components ,	1<2	unknown	sequence	temporal
and as long as they could work with what they thought of as cutting - edge components ,	they did n't care much about the thing 's purpose .	1<2	unknown	sequence	temporal
they did n't care much about the thing 's purpose .	In fact , they 'd prefer to think up purposes themselves .	1<2	unknown	sequence	temporal
This parable points me ( at least ) toward two of the goals of STS in education .	First is helping people who 've come under the seductive power of techno - wizardry to see , comprehend , and care about what sorts of problems really need to be solved .	1>2	unknown	background	frame
First is helping people who 've come under the seductive power of techno - wizardry to see , comprehend , and care about what sorts of problems really need to be solved .	Second is teaching how people actually interact with and use designed products , which involves teaching certain social values , such as the appropriate - technology goal of making devices as simple , cheap , energy - efficient , and user - transparent as practically possible .	1<2	unknown	list	conjunction
The engineering professor who made up that assignment may have had the same goal ,	but it certainly is n't common .	1>2	unknown	concession	concession
Second is teaching how people actually interact with and use designed products , which involves teaching certain social values , such as the appropriate - technology goal of making devices as simple , cheap , energy - efficient , and user - transparent as practically possible .	but it certainly is n't common .	1<2	unknown	elaboration	elaboration
In a way this is simply a plea for a broad , balanced approach to techno - science education .	In another way , it 's more profound than that .	1>2	unknown	concession	concession
Second is teaching how people actually interact with and use designed products , which involves teaching certain social values , such as the appropriate - technology goal of making devices as simple , cheap , energy - efficient , and user - transparent as practically possible .	In another way , it 's more profound than that .	1<2	unknown	elaboration	elaboration
My Silicon Valley - based engineering students assume that the problems they 'll work to solve will be posed for them by the marketplace ,	The idea of interacting with potential users , especially in any kind of thorough or systematic way , does n't get much press in their world since it 's assumed to be perfectly mediated by the market .	1>2	unknown	antithesis	contrast
My Silicon Valley - based engineering students assume that the problems they 'll work to solve will be posed for them by the marketplace ,	via the companies they work for .	1<2	unknown	means	mode
My Silicon Valley - based engineering students assume that the problems they 'll work to solve will be posed for them by the marketplace ,	They want to invent cool stuff	1<2	unknown	elaboration	elaboration
They want to invent cool stuff	and then see if they can sell it .	1<2	unknown	sequence	temporal
In another way , it 's more profound than that .	The idea of interacting with potential users , especially in any kind of thorough or systematic way , does n't get much press in their world since it 's assumed to be perfectly mediated by the market .	1<2	unknown	elaboration	elaboration
First is helping people who 've come under the seductive power of techno - wizardry to see , comprehend , and care about what sorts of problems really need to be solved .	In the Computer Science Dept. here , Terry Winograd has started a program in Human - Computer Interaction .	1<2	unknown	elaboration	elaboration
In the Computer Science Dept. here , Terry Winograd has started a program in Human - Computer Interaction .	It s focus is on developing and teaching methods of software design which include potential users in the design process from the beginning .	1<2	unknown	elaboration	elaboration
This is one big step toward a more complete approach to engineering ,	but the other -- which really requires STS types -- lies in helping engineers understand themselves as _social_ engineers and seeing how important that is .	1>2	unknown	concession	concession
In the Computer Science Dept. here , Terry Winograd has started a program in Human - Computer Interaction .	but the other -- which really requires STS types -- lies in helping engineers understand themselves as _social_ engineers and seeing how important that is .	1<2	unknown	evaluation	comment
John BAILAR asks " What are we really trying to accomplish in the long run ? "	The ultimate goal is a world without war , in which conflicts are waged using only nonviolent methods .	1>2	unknown	solutionhood	query
Let me tell you about my goal in one particular STS project	The ultimate goal is a world without war , in which conflicts are waged using only nonviolent methods .	1>2	unknown	background	frame
Let me tell you about my goal in one particular STS project	( in collaboration with Mary Cawte ) .	1<2	unknown	background	frame
Let me tell you about my goal in one particular STS project	Of course other people will have different goals ,	1<2	unknown	concession	concession
Of course other people will have different goals ,	as I do myself in other projects .	1<2	unknown	elaboration	elaboration
The ultimate goal is a world without war , in which conflicts are waged using only nonviolent methods .	For those who are interested in our topic ,	1>2	unknown	motivation	explanation
The ultimate goal is a world without war , in which conflicts are waged using only nonviolent methods .	A step towards this is to help promote the use of nonviolent methods of struggle ,	1<2	unknown	elaboration	elaboration
A step towards this is to help promote the use of nonviolent methods of struggle ,	such as strikes , boycotts and noncooperation , as an alternative to military defence .	1<2	unknown	elaboration	elaboration
such as strikes , boycotts and noncooperation , as an alternative to military defence .	There is a considerable historical experience and literature on this alternative ,	1<2	unknown	background	frame
There is a considerable historical experience and literature on this alternative ,	though it is not widely known .	1<2	unknown	concession	concession
Currently a large portion of R&D is directly or indirectly related to military goals .	Our project is to see how science and technology can be used instead to make nonviolent struggle more effective .	1>2	unknown	antithesis	contrast
The ultimate goal is a world without war , in which conflicts are waged using only nonviolent methods .	Our project is to see how science and technology can be used instead to make nonviolent struggle more effective .	1<2	unknown	elaboration	elaboration
Our project is to see how science and technology can be used instead to make nonviolent struggle more effective .	We have searched many literatures , interviewed scientists and engineers , given talks , and published queries and accounts in magazines and electronic lists to stimulate responses .	1<2	unknown	elaboration	elaboration
The ultimate goal is a world without war , in which conflicts are waged using only nonviolent methods .	The project itself is part of the process of creating awareness of nonviolent alternatives to military systems .	1<2	unknown	summary	organization
One does n't have to be an STS specialist to carry out this research ,	but it 's as good a location as any .	1>2	unknown	concession	concession
but it 's as good a location as any .	For those who are interested in our topic ,	1>2	unknown	motivation	explanation
For those who are interested in our topic ,	I would be happy to provide copies of articles .	1<2	unknown	enablement	purpose
Thanks to MILLER for his support .	I had a point , though , beyond suggesting that there was no inevitability to a clash between scientists and STSers .	1>2	unknown	background	frame
I ask that FULLER and others please note that the ad was placed in _Science_ by the National Association of Scholars , not by a group of scientists .	There is a serious struggle going on here .	1>2	unknown	background	frame
I ask that FULLER and others please note that the ad was placed in _Science_ by the National Association of Scholars , not by a group of scientists .	The National Association of Scholars is a group , composed largely of people in the humanities , that advances a particular political agenda under the banner of opposing politics in scholarship .	1<2	unknown	elaboration	elaboration
The National Association of Scholars is a group , composed largely of people in the humanities , that advances a particular political agenda under the banner of opposing politics in scholarship .	I do n't wish to question the honesty and good intentions ( or the scholarly credentials , for that matter ) of many people who may be involved ,	1<2	unknown	elaboration	elaboration
I do n't wish to question the honesty and good intentions ( or the scholarly credentials , for that matter ) of many people who may be involved ,	not would I suggest that they have not raised some legitimate issues .	1<2	unknown	conjunction	conjunction
The National Association of Scholars is a group , composed largely of people in the humanities , that advances a particular political agenda under the banner of opposing politics in scholarship .	I would reiterate , though , that they conceive of their opponents not as people who do science studies , but rather , as what Gross characterizes as " the academic left . "	1<2	unknown	elaboration	elaboration
I would reiterate , though , that they conceive of their opponents not as people who do science studies , but rather , as what Gross characterizes as " the academic left . "	These two groups overlap ( STSers and the " AL " ) , but are not identical .	1<2	unknown	elaboration	elaboration
I ask that FULLER and others please note that the ad was placed in _Science_ by the National Association of Scholars , not by a group of scientists .	STSers may be expressing a little too much of a sense of self - importance in thinking that the ad was directed at them .	1<2	unknown	summary	organization
I had a point , though , beyond suggesting that there was no inevitability to a clash between scientists and STSers .	There is a serious struggle going on here .	1<2	unknown	elaboration	elaboration
There is a serious struggle going on here .	Will there be a place for feminism , SSK , marxism , and other critical methodologies in studying science ?	1<2	unknown	elaboration	elaboration
There is a serious struggle going on here .	Or will the continuing clamor which conflates under the rubric " political correctness " multiculturalism , post - structuralism , and concern about speeech that hurts , eventually lead to attempts to root critical thinkers out of any location in the academic world .	1<2	unknown	elaboration	elaboration
There is a serious struggle going on here .	STSers have a stake in this matter ,	1<2	unknown	elaboration	elaboration
STSers have a stake in this matter ,	but not because the attack is on science studies .	1<2	unknown	antithesis	contrast
Could someone out there provide more information on the National Association of Scholars ?	Perhaps then a more significant discussion about the call to arms in _Science_ can proceed .	1>2	unknown	enablement	purpose
Could someone out there provide more information on the National Association of Scholars ?	For example :	1<2	unknown	elaboration	elaboration
For example :	Who are the leading figures in it ?	1<2	unknown	elaboration	elaboration
For example :	Who funds it ?	1<2	unknown	elaboration	elaboration
STSers have a stake in this matter ,	Perhaps then a more significant discussion about the call to arms in _Science_ can proceed .	1<2	unknown	elaboration	elaboration
On Tue , 4 Oct 1994 , Clark Miller wrote :	> > Here , here to MORMAN . > > As a scientist and an STS scholar , I do not find an inherent conflict > in the two positions , but I do find the arguments being made by some > of my colleagues ( on both sides of the aisle ) extremely damaging . Our > central thesis is NOT that the real world does not exist . Responses of > SCAREDY CAT , SCAREDY CAT ... , however , are hardly likely to win > moderate and liberal scientists to STS . It seems to me that the way to > proceed is to challenge science instead of provoking it .	1>2	unknown	preparation	organization
I had a point , though , beyond suggesting that there was no inevitability to a clash between scientists and STSers .	> > Here , here to MORMAN . > > As a scientist and an STS scholar , I do not find an inherent conflict > in the two positions , but I do find the arguments being made by some > of my colleagues ( on both sides of the aisle ) extremely damaging . Our > central thesis is NOT that the real world does not exist . Responses of > SCAREDY CAT , SCAREDY CAT ... , however , are hardly likely to win > moderate and liberal scientists to STS . It seems to me that the way to > proceed is to challenge science instead of provoking it .	1<2	unknown	background	frame
A journalist once asked Ernest Hemingway why he had rewritten the last page of _Farewell to Arms_ forty - seven times .	Hemingway replied , " To get it right . "	1>2	unknown	solutionhood	query
Hemingway replied , " To get it right . "	In that spirit , I 'm happy to make another attempt to establish a clear signal between here and Durham .	1>2	unknown	background	frame
In that spirit , I 'm happy to make another attempt to establish a clear signal between here and Durham .	> From the ethnographic perspective , the question about _whether_ to engage in interactions with scientists , et al. , " dissolves " to this extent :	1>2	unknown	background	frame
In that spirit , I 'm happy to make another attempt to establish a clear signal between here and Durham .	Besides , it appears that I have been hailed .	1<2	unknown	elaboration	elaboration
In that spirit , I 'm happy to make another attempt to establish a clear signal between here and Durham .	[ Warning : this is a long one .... ]	1<2	unknown	background	frame
On Thu , 27 Oct 1994 , Steve Fuller wrote :	> I want to explain why I had misgivings about what [ Traweek ] and some of the > anthropologists ( I include here HEATH , STOCKDALE , EGLASH ) were saying > about the STS - scientist interaction . > It seemed to me that the tenor of your ( plural ) remarks was that the > entire question was being framed wrong , and that once we look at things > somewhat differently , the question will dissolve : i.e. , in some sense > there is NO problem with STS - scientist interaction . Given the sorts of > things that both STSers and scientists have been writing lately about > their interactions , I found the claim surprising and wanted to find out > more .	1>2	unknown	preparation	organization
> I want to explain why I had misgivings about what [ Traweek ] and some of the > anthropologists ( I include here HEATH , STOCKDALE , EGLASH ) were saying > about the STS - scientist interaction . > It seemed to me that the tenor of your ( plural ) remarks was that the > entire question was being framed wrong , and that once we look at things > somewhat differently , the question will dissolve : i.e. , in some sense > there is NO problem with STS - scientist interaction . Given the sorts of > things that both STSers and scientists have been writing lately about > their interactions , I found the claim surprising and wanted to find out > more .	> From the ethnographic perspective , the question about _whether_ to engage in interactions with scientists , et al. , " dissolves " to this extent :	1>2	unknown	antithesis	contrast
> From the ethnographic perspective , the question about _whether_ to engage in interactions with scientists , et al. , " dissolves " to this extent :	for us , [ long - term , on - site ] interaction is the sine qua non of our methodology .	1<2	unknown	elaboration	elaboration
Does this mean that interactions are never problematic ?	Certainly not ,	1>2	unknown	solutionhood	query
for us , [ long - term , on - site ] interaction is the sine qua non of our methodology .	Certainly not ,	1<2	unknown	elaboration	elaboration
Certainly not ,	though as resident aliens in labs and clinics , we may choose to negotiate culture clash differently than short term visitors .	1<2	unknown	concession	concession
> I was then puzzled by some of the things I read : For example , HEATH said > that scientists were ' sources ' , no mere objects of critique of both the > STSers ' and the scientists ' practices . I wondered what this meant in > practice	1 ) " Science " is heterogeneous .	1>2	unknown	solutionhood	query
I could mention , for ex. , a biochemist who cites Marx in critiquing scientific citation practices that deny technicians credit for their work .	1 ) " Science " is heterogeneous .	1>2	unknown	background	frame
I could mention , for ex. , a biochemist who cites Marx in critiquing scientific citation practices that deny technicians credit for their work .	Or , perhaps , in response to Ron Eglash 's account of the physicist who was annoyed by Don na Haraway 's pep talk to ecofeminists , I could put him in touch with any number of women scientists and technicians whose accounts of " science - as - male - domination " are based on their lived experience ( and often on their readings of works in feminist science studies ) ;	1<2	unknown	list	conjunction
I could mention , for ex. , a biochemist who cites Marx in critiquing scientific citation practices that deny technicians credit for their work .	these accounts are part of the " native " cultural terrain .	1<2	unknown	summary	organization
these accounts are part of the " native " cultural terrain .	As Bakhtin reminds us , all signifying practice contains both " centripetal " and " centrifugal " [ dominant and oppositional ] discourses .	1<2	unknown	elaboration	elaboration
The point is this :	1 ) " Science " is heterogeneous .	1>2	unknown	preparation	organization
> From the ethnographic perspective , the question about _whether_ to engage in interactions with scientists , et al. , " dissolves " to this extent :	1 ) " Science " is heterogeneous .	1<2	unknown	list	conjunction
1 ) " Science " is heterogeneous .	1 ( a) Given the permeable boundaries of science , both STSers and technoscientists draw on the same field of cultural - critical resources more often than one might expect .	1<2	unknown	elaboration	elaboration
1 ( a) Given the permeable boundaries of science , both STSers and technoscientists draw on the same field of cultural - critical resources more often than one might expect .	1 ( b ) This suggests possibilities for those who maintain that the most productive forms of " critical engagement " proceed from alliance building .	1<2	unknown	list	conjunction
> it MAY mean that both STSers and scientists benefit from > the interaction , but for different reasons -- much like exchange relations > in capitalism , in which each trader has something that the other wants . > There is constructive interaction , in a sense , but no one comes away > fundamentally changed . In fact , the traders are reinforced in their > positions .	Instrumentalist exchange theory may certainly account for some encounters between STSers and technoscientists .	1>2	unknown	preparation	organization
Instrumentalist exchange theory may certainly account for some encounters between STSers and technoscientists .	There are also other models or metaphors -- actant networks ? interethnic marriage ? cyborgian unions ?-- that admit the possibility [ and even the desirability ] that both parties to these encounters [ esp. the long - term variety ] end up seeing the world [ s ] differently , or at least understanding one another 's worldviews as more complex , less caricatural .	1>2	unknown	concession	concession
1 ) " Science " is heterogeneous .	There are also other models or metaphors -- actant networks ? interethnic marriage ? cyborgian unions ?-- that admit the possibility [ and even the desirability ] that both parties to these encounters [ esp. the long - term variety ] end up seeing the world [ s ] differently , or at least understanding one another 's worldviews as more complex , less caricatural .	1<2	unknown	list	conjunction
> [ T ] he interests of > the scientist and the STSer never really intersect at a point of critical > engagement , where both sides are forced to recognize incompatibilities > between the scientist 's project and the STSer 's project .... > Is there NO place for critical engagement in this picture , or > am I just not looking at things the right way ?	Well , Steve , from my perspective , you 're just not looking at things the right way .	1>2	unknown	antithesis	contrast
There are also other models or metaphors -- actant networks ? interethnic marriage ? cyborgian unions ?-- that admit the possibility [ and even the desirability ] that both parties to these encounters [ esp. the long - term variety ] end up seeing the world [ s ] differently , or at least understanding one another 's worldviews as more complex , less caricatural .	Well , Steve , from my perspective , you 're just not looking at things the right way .	1<2	unknown	list	conjunction
Well , Steve , from my perspective , you 're just not looking at things the right way .	There is no monolithic " scientist 's project , "	1<2	unknown	evidence	explanation
Well , Steve , from my perspective , you 're just not looking at things the right way .	and the exchanges on this list certainly put to rest any illusions that there is a unified TOE in STS !	1<2	unknown	evidence	explanation
Well , Steve , from my perspective , you 're just not looking at things the right way .	I see my work on the cultural practices of genetics and the life sciences as being all about critical engagement -- based on modest interventions meant to * enhance * intersections among various constituencies :	1<2	unknown	evidence	explanation
I see my work on the cultural practices of genetics and the life sciences as being all about critical engagement -- based on modest interventions meant to * enhance * intersections among various constituencies :	biologists ,	1<2	unknown	elaboration	elaboration
biologists ,	clinicians ,	1<2	unknown	list	conjunction
clinicians ,	patient advocates ,	1<2	unknown	list	conjunction
patient advocates ,	informaticians ,	1<2	unknown	list	conjunction
informaticians ,	venture capitalists ...	1<2	unknown	list	conjunction
Well , Steve , from my perspective , you 're just not looking at things the right way .	Both the disjunctures and the partial connections among them / us are resources in a long - term , high stakes conversation that is framing new forms of " biosociality " [ Rabinow ] .	1<2	unknown	summary	organization
Both the disjunctures and the partial connections among them / us are resources in a long - term , high stakes conversation that is framing new forms of " biosociality " [ Rabinow ] .	It seems to me that the work that needs to be done is much too important to rely ( pace Lakoff ) on the model / metaphor " Argument as war . "	1<2	unknown	elaboration	elaboration
Paul Edwards writes :	> In a way this is simply a plea for a broad , balanced approach to > techno - science education . In another way , it 's more profound than that . My > Silicon Valley - based engineering students assume that the problems they 'll > work to solve will be posed for them by the marketplace , via the companies > they work for . They want to invent cool stuff and then see if they can sell > it . The idea of interacting with potential users , especially in any kind of > thorough or systematic way , does n't get much press in their world since > it 's assumed to be perfectly mediated by the market .	1>2	unknown	attribution	attribution
> In a way this is simply a plea for a broad , balanced approach to > techno - science education . In another way , it 's more profound than that . My > Silicon Valley - based engineering students assume that the problems they 'll > work to solve will be posed for them by the marketplace , via the companies > they work for . They want to invent cool stuff and then see if they can sell > it . The idea of interacting with potential users , especially in any kind of > thorough or systematic way , does n't get much press in their world since > it 's assumed to be perfectly mediated by the market .	The problem is , once we begin to contemplate alternatives to market - mediated modes of connecting needs to expertise ,	1>2	unknown	concession	concession
> In a way this is simply a plea for a broad , balanced approach to > techno - science education . In another way , it 's more profound than that . My > Silicon Valley - based engineering students assume that the problems they 'll > work to solve will be posed for them by the marketplace , via the companies > they work for . They want to invent cool stuff and then see if they can sell > it . The idea of interacting with potential users , especially in any kind of > thorough or systematic way , does n't get much press in their world since > it 's assumed to be perfectly mediated by the market .	He is so right !	1<2	unknown	evaluation	comment
The problem is , once we begin to contemplate alternatives to market - mediated modes of connecting needs to expertise ,	things get very murky .	1>2	unknown	nonvolitional-cause	causal
things get very murky .	In STS we can teach all we want about market " imperfections "	1>2	unknown	preparation	organization
things get very murky .	This is all the more so as , for example , the PC industry , becomes more and more monopolized ( or , at least , dominated by a few mammoth firms ) .	1<2	unknown	elaboration	elaboration
This is all the more so as , for example , the PC industry , becomes more and more monopolized ( or , at least , dominated by a few mammoth firms ) .	We all recall the arrogance of IBM in the years of its haughty successes ;	1<2	unknown	elaboration	elaboration
We all recall the arrogance of IBM in the years of its haughty successes ;	now Microsoft is getting into a similar position .	1<2	unknown	sequence	temporal
These firms dictate to the public what will be available , based on the firms ' assessments of what is most profitable ( or most conducive to extending industrial dominance ) ,	not what putative consumers might actually want .	1>2	unknown	antithesis	contrast
not what putative consumers might actually want .	For those working within specific firms , the gee - whiz incentives are consequently lowered .	1>2	unknown	nonvolitional-cause	causal
This is all the more so as , for example , the PC industry , becomes more and more monopolized ( or , at least , dominated by a few mammoth firms ) .	For those working within specific firms , the gee - whiz incentives are consequently lowered .	1<2	unknown	elaboration	elaboration
In this respect I consider the pharmaceutical industry .	While its propaganda brags of the sums spent on R&D ( still < what it spends on advertising ! ) ,	1>2	unknown	preparation	organization
While its propaganda brags of the sums spent on R&D ( still < what it spends on advertising ! ) ,	we know that a good bit of their " innovation " is not to bring new " cures " to the public , but to grab patents in order to forestall competitive products .	1>2	unknown	antithesis	contrast
we know that a good bit of their " innovation " is not to bring new " cures " to the public , but to grab patents in order to forestall competitive products .	Lab scientists within are therefore relegated the task of targeting research toward smaller , more corporate - interest goals , leaving to the side efforts to ( excuse the naivete ) improve human - kind .	1>2	unknown	nonvolitional-cause	causal
For those working within specific firms , the gee - whiz incentives are consequently lowered .	Lab scientists within are therefore relegated the task of targeting research toward smaller , more corporate - interest goals , leaving to the side efforts to ( excuse the naivete ) improve human - kind .	1<2	unknown	evidence	explanation
In STS we can teach all we want about market " imperfections "	but we risk probably exacerbating the cynicism and alienation of the future experts in our classes .	1>2	unknown	nonvolitional-cause	causal
In STS we can teach all we want about market " imperfections "	( I wo n't try to deconstruct the normative notion of successful , efficient market mechanisms at this point ... ) ,	1<2	unknown	background	frame
but we risk probably exacerbating the cynicism and alienation of the future experts in our classes .	How far should we push that sort of thing ?	1>2	unknown	preparation	organization
So be it .	How far should we push that sort of thing ?	1>2	unknown	concession	concession
How far should we push that sort of thing ?	we get stuck in this conundrum , I fear ...	1>2	unknown	solutionhood	query
We do n't want mercenary experts ,	but we also do n't want to risk dividing their consciousness , turning their good intentions against them .	1>2	unknown	antithesis	contrast
but we also do n't want to risk dividing their consciousness , turning their good intentions against them .	we get stuck in this conundrum , I fear ...	1>2	unknown	antithesis	contrast
Until we can change the system of market - idealism ,	we get stuck in this conundrum , I fear ...	1>2	unknown	condition	condition
Paul Edwards and Robert Frost have raised issues relating to the effects of markets on technological research and development in industry .	Does n't go v't exist to rectify market failures ?	1>2	unknown	background	frame
Does n't go v't exist to rectify market failures ?	There 's no reason ( theoretically ) why go v't ca n't step in to cover research in say , technologies relating to the handicapped .	1>2	unknown	solutionhood	query
There 's no reason ( theoretically ) why go v't ca n't step in to cover research in say , technologies relating to the handicapped .	We already have a national lab devoted to renewable energy ( NREL in Golden Colorado ) .....	1<2	unknown	evidence	explanation
There 's no reason ( theoretically ) why go v't ca n't step in to cover research in say , technologies relating to the handicapped .	the NSF has its ERC system which is organized more or less on a thematic basis .	1<2	unknown	evidence	explanation
There 's no reason ( theoretically ) why go v't ca n't step in to cover research in say , technologies relating to the handicapped .	One can imagine a technology policy which actually responds to human needs , rather than dictating them .	1<2	unknown	summary	organization
M.A. Turton observes , " There 's no reason ( theoretically ) why government ca n't step in to cover research in , say , technologies relating to the handicapped . "	No need to be theoretical -	1>2	unknown	antithesis	contrast
No need to be theoretical -	The U.S. Government has a National Institute for Disability and Rehabilitation Research , one of several agencies which sponsor this sort of technology development .	1<2	unknown	evidence	explanation
The U.S. Government has a National Institute for Disability and Rehabilitation Research , one of several agencies which sponsor this sort of technology development .	Others include the Department of Veterans Affairs and the Office of Special Education Research in the Dept. of Education .	1<2	unknown	elaboration	elaboration
Not only that , but to at least a limited extent , they have had the benefit , such as it is , of an STS - type approach for quite a while .	Major insight :	1>2	unknown	background	frame
Not only that , but to at least a limited extent , they have had the benefit , such as it is , of an STS - type approach for quite a while .	I have been a contractor for technology development and technology assessment to these and other agencies with programs in this area , for more than ten years , and have sought to bring STS - informed methodologies to bear in several areas , which in summary , seek to bring the social knowledge resident in communities of persons with disabilities into the technology development process in order to enhance the liklihood that resulting protoypes will meet real needs of real people and to reduce the risk of innovation .	1<2	unknown	justify	explanation
Major insight :	Democratization of practices of technology development as sponsored by government agencies and labs makes practical as well as political sense ,	1>2	unknown	background	frame
The notion of " technology transfer " is an artefact of the conceptual framework technology developers bring to their practice .	Democratization of practices of technology development as sponsored by government agencies and labs makes practical as well as political sense ,	1>2	unknown	solutionhood	query
The notion of " technology transfer " is an artefact of the conceptual framework technology developers bring to their practice .	Technologies are not transferred to a using community , but learned or adopted by them .	1<2	unknown	elaboration	elaboration
Technologies are not transferred to a using community , but learned or adopted by them .	Or rejected .	1<2	unknown	elaboration	elaboration
No need to be theoretical -	Democratization of practices of technology development as sponsored by government agencies and labs makes practical as well as political sense ,	1<2	unknown	evidence	explanation
Democratization of practices of technology development as sponsored by government agencies and labs makes practical as well as political sense ,	because it enhances the liklihood of innovation , and thus the overall success of the lab or agency , measured in technologies actually adopted and used by some group of people .	1<2	unknown	volitional-result	causal
No need to be theoretical -	Anyway , I am finishing a study of the developmet and innovation of reading machines for the blind which traces the history of some of these practices and their successes and failures since 1943 ,	1<2	unknown	evidence	explanation
Anyway , I am finishing a study of the developmet and innovation of reading machines for the blind which traces the history of some of these practices and their successes and failures since 1943 ,	when the U.S. government first undertook the development of assistive technologies .	1<2	unknown	circumstance	temporal
Anyway , I am finishing a study of the developmet and innovation of reading machines for the blind which traces the history of some of these practices and their successes and failures since 1943 ,	By the way , the continuing interaction of defense - sponsored research and the development of assistive technologies makes for a complex and fascinating story in itself .	1<2	unknown	background	frame
By the way , the continuing interaction of defense - sponsored research and the development of assistive technologies makes for a complex and fascinating story in itself .	Suffice it to say that the 1943 work was sponsored by Vannevar Bush ( personally ) and the OSRD , and that the research leading to the first commercial reading machine for the blind ( the Optacon around 1971 ) was performed by a team at Stanford U. whose major funding through 1967 came from the Navy and the Air Force .	1<2	unknown	elaboration	elaboration
One of my hopes and a high item on my personal STS agenda is to influence technology developers in this and other fields to employ STS - generated insights regarding the social construction of knowledge to construct more democratically	but because it results in better products and more efficient R&D .	1>2	unknown	purpose	purpose
- not because it is politically correct ,	but because it results in better products and more efficient R&D .	1>2	unknown	antithesis	contrast
No need to be theoretical -	but because it results in better products and more efficient R&D .	1<2	unknown	evidence	explanation
This book just appeared on my desk .	By Joyce Appleby ( UCLA ) , Lynn Hunt ( Pennsyvania ) , and Margaret Jacob ( The New School ) , _Telling the Truth about History_ at first glance looks to be analogous to Gross and Levitt 's _Higher Superstition_ .	1>2	unknown	background	frame
By Joyce Appleby ( UCLA ) , Lynn Hunt ( Pennsyvania ) , and Margaret Jacob ( The New School ) , _Telling the Truth about History_ at first glance looks to be analogous to Gross and Levitt 's _Higher Superstition_ .	I hope others on this list take a look at this book , and have something to say about it on this list .	1>2	unknown	motivation	explanation
By Joyce Appleby ( UCLA ) , Lynn Hunt ( Pennsyvania ) , and Margaret Jacob ( The New School ) , _Telling the Truth about History_ at first glance looks to be analogous to Gross and Levitt 's _Higher Superstition_ .	Three historians ( like Gross and Levitt , two scientists ) complain about how history ( rather than science ) is misused and misunderstood .	1<2	unknown	elaboration	elaboration
By Joyce Appleby ( UCLA ) , Lynn Hunt ( Pennsyvania ) , and Margaret Jacob ( The New School ) , _Telling the Truth about History_ at first glance looks to be analogous to Gross and Levitt 's _Higher Superstition_ .	The villains ( and this I get from the blurbs on the book jackets ) are ( 1 ) unscrupulous popularizers ( Oliver Stone by implication ) , ( 2 ) " critics who dissolve the author herself into one among many sources of meaning , reducing historical knowledge to a series of texts engaged with each other , not with the past , " and ( 3 ) " powerful constituencies [ that ] call for histories that affirm more than inform . "	1<2	unknown	elaboration	elaboration
By Joyce Appleby ( UCLA ) , Lynn Hunt ( Pennsyvania ) , and Margaret Jacob ( The New School ) , _Telling the Truth about History_ at first glance looks to be analogous to Gross and Levitt 's _Higher Superstition_ .	The key difference is that this critique of post - structuralist methodologies and abuses of the multiculturalist program seems not to descend into name calling and attacks on an " academic left " that really does n't seem to exist ( at least as Gross and Levitt portray it ) .	1<2	unknown	elaboration	elaboration
I hope others on this list take a look at this book , and have something to say about it on this list .	Look especially at its discussion of how the establishment of science as a model for gaining objective truth influenced the development of the historical enterprise beginning in the eighteenth century .	1<2	unknown	elaboration	elaboration
On Tue , 25 Oct 1994 David Hakken wrote :	> Fuller 's comments about the write - in candidates for the Physical Society > opens up an avenue that I think we need to explore more fully , the notion > of constructing a dialogue with technoscience practitioners who share > important elements of the STS perspective and are active in their own > fields . How can we help these individuals move beyond being what Hilary > Rose has called " shit shovelers " ( exposing " bad practice " in their fields ) > toward a more general discussion of the way forward ? Where can we meet > them ? How can we get more of them to participate in our meetings , and us in > theirs ? In my work in computing , the process of " finding allies from the > side of the practitioners " is slow but progressing . Can we move this > outside of particular fields into a more general discourse ? The history > of radical science movements , both that of the thirties ( Bernal et. al. ) and > that of the sixties ( e.g. science for people and science for the people ) > may have much to tell us on these questions .	1>2	unknown	attribution	attribution
> Fuller 's comments about the write - in candidates for the Physical Society > opens up an avenue that I think we need to explore more fully , the notion > of constructing a dialogue with technoscience practitioners who share > important elements of the STS perspective and are active in their own > fields . How can we help these individuals move beyond being what Hilary > Rose has called " shit shovelers " ( exposing " bad practice " in their fields ) > toward a more general discussion of the way forward ? Where can we meet > them ? How can we get more of them to participate in our meetings , and us in > theirs ? In my work in computing , the process of " finding allies from the > side of the practitioners " is slow but progressing . Can we move this > outside of particular fields into a more general discourse ? The history > of radical science movements , both that of the thirties ( Bernal et. al. ) and > that of the sixties ( e.g. science for people and science for the people ) > may have much to tell us on these questions .	As Vice - President ( soon to be President ) of the Society on Social Implications of Technology ( SSIT ) of the Institute of Electrical and Electronics Engineers ( IEEE ) , I cordially invite my STS colleagues to participate in the activities of our society .	1>2	unknown	solutionhood	query
As Vice - President ( soon to be President ) of the Society on Social Implications of Technology ( SSIT ) of the Institute of Electrical and Electronics Engineers ( IEEE ) , I cordially invite my STS colleagues to participate in the activities of our society .	SSIT has about 2500 members worldwide .	1<2	unknown	motivation	explanation
Some of our members identify professionally with STS or allied fields ( e.g. history of technology ) ,	but most are employed in engineering positions in business , government or academia .	1>2	unknown	concession	concession
SSIT has about 2500 members worldwide .	but most are employed in engineering positions in business , government or academia .	1<2	unknown	elaboration	elaboration
